Fecha y hora,CO (ppm),NO (ppb),NO2 (ppb),NOX (ppb),O3 (ppb),PM10 (ug/m3),PM2.5 (ug/m3),PRS (mmHg),RAINF (mm/h),RH (%),SO2 (ppb),SR (kW/m2),TOUT (¼C),WSR (km/h),WDR (azimutal)
2022-02-22 12:00:00,0.69,15.5,16,31.4,30,88,24,711.5,0,15,4.7,0.446,33.55,12.7,288
2022-02-22 18:00:00,0.89,6.3,22.4,28.7,42,75,21,709,0,16,5.3,0.131,34.07,11.2,111
2022-02-23 00:00:00,0.9,10,25.6,35.5,18,11,7.2,711.3,0,45,5.1,0,25.72,6.9,71
2022-02-23 06:00:00,0.97,24.6,20.8,45.4,6,59.8,28,711.3,0,85,5.5,0,18.73,4,44
2022-02-23 12:00:00,1.03,15.6,23.6,39.2,12,69.2,35,714.8,0,71,6.5,0.106,21.55,6.7,198
2022-02-23 18:00:00,1.34,59.7,25.3,85,8,142,17,713.1,0,60,4.9,0.013,17.49,14.7,27
2022-02-24 00:00:00,0.66,8.4,14,22.3,14,69,5,715.2,0,70,4.3,0,10.83,9,83
2022-02-24 06:00:00,0.68,8.1,13.5,21.5,9,24,11,713.9,0,87,5.06,0,7.86,4.6,72
2022-02-24 12:00:00,1.41,62.1,27.2,89.3,10,75,31,714.8,0,68,5,0.294,13.22,7.6,42
2022-02-24 18:00:00,0.98,11,34.4,45.3,32,99,37,712.8,0,55,28.1,0.116,17.75,11.6,65
2022-02-25 00:00:00,0.79,16.2,21.2,37.4,11,34,3,717.9,0,64,7.5,0,12,10.4,28
2022-02-25 06:00:00,0.72,24.6,17.7,42.3,14,35,12,718.8,0,71,4.9,0,9.93,7.2,356
2022-02-25 12:00:00,1.02,51.2,21.1,72.3,11,79,15,721,0,56,5.6,0.138,11.95,7.2,14
2022-02-25 18:00:00,0.91,11.5,25.3,36.7,13,80,22,718.5,0,71,5.7,0.025,10.98,10.8,108
2022-02-26 00:00:00,0.77,11.9,14.1,25.9,7,49,14,719.9,0,84,4.6,0,7.37,7.6,69
